,leaf_num,bolting,leaf_avg,biomass
P002,7,Y,47.866,24.6
P004,7,Y,69.3255,22.1
P007,7,Y,50.557,17
P008,6,N,41.442,11.3
P009,6,N,31.875,9.6
P010,7,N,34.7035,12.5
P016,6,N,29.77,10
P017,6,Y,65.7725,22
P020,7,N,27.019,13.3
P023,7,N,23.7785,13.6
P024,6,N,41.4385,15.2
P035,7,Y,53.4695,21.2
P037,7,N,40.707,17.1
P038,6,N,34.395,9.9
P039,6,N,37,11.9
P049,6,N,45.289,13.7
P050,7,N,43.782,22
P051,6,Y,53.2135,15.7
P052,6,N,31.442,10
P053,6,Y,36.1505,11.4
P054,6,N,48.7575,9.9
P059,7,N,48.572,21.3
P064,6,Y,48.354,13.9
P068,7,N,26.237,12.5
P077,7,Y,73.6465,26.2
P080,6,Y,54.69,18.2
P085,6,N,46.8405,11.7
P092,7,Y,34.4815,19.1
P094,6,Y,48.7955,13.8
P095,6,N,21.705,8.2
P097,7,Y,57.722,22
P100,6,N,27.4115,14.7
P109,6,N,60.348,17.7
P110,7,Y,59.59,26.7
P111,7,N,37.535,13.4
P112,7,Y,41.7785,18.6
P114,6,N,36.845,11.3
P122,7,Y,69.828,26.6
P127,6,N,33.68,10.7
P130,6,Y,41.1795,25.4
P138,7,N,41.797,17.4
P140,7,N,33.942,15.2
P142,6,N,45.523,13.2
P143,6,N,33.1925,9.8
P144,6,N,38.268,11
P152,7,Y,64.7515,21.3
P154,7,N,59.0995,20.9
P155,7,Y,51.332,22.9
P158,7,N,61.011,18.3
P159,7,N,41.478,16.6
P170,7,N,40.802,17.7
P174,6,N,38.757,10.4
P181,6,N,45.939,13.4
P183,7,N,44.577,14
P188,6,N,40.909,11.2
P199,7,N,56.339,20.2
P200,7,Y,55.384,19.3
P202,6,N,30.3755,9.7
P203,6,N,43.008,13
P204,6,N,35.527,10.8
P205,6,N,28.0125,9.4
P213,7,Y,53.0175,21.5
P214,7,Y,57.472,22.5
P217,7,Y,27.5935,14.6
P219,6,N,42.693,13.2
